model_name,generation,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,mcc,npv,train_time_sec,cv_std_pr_auc,cv_std_sensitivity,cv_std_f1
Logistic Regression,1,0.7199107142857143,0.7198865907773916,0.6798770351164587,0.7598961464383246,0.7387816683368407,0.7081018288336318,0.7829485693683307,0.7629619074781788,0.4412019304544758,0.7038537128922835,2.367760181427002,0.0037622472304057724,0.005447210843064915,0.005044843838385881
Decision Tree,1,0.7275,0.7274768713443515,0.6881685826025199,0.766785160086183,0.7468989770163694,0.7160729082442262,0.7885178158365431,0.7683404927509581,0.45664929186961334,0.7114556713940814,2.7185823917388916,0.002021805784396433,0.020438054354784664,0.008316637590741562
Random Forest,2,0.7339999999999999,0.7339742302355712,0.691241267946693,0.7767071925244494,0.7556095489716084,0.7219827355853468,0.7992178901326954,0.7813817922369453,0.46968742586705314,0.7158234655661341,4.04256534576416,0.0020963558268067947,0.006427427339239103,0.004268146271475981
Gradient Boosting,2,0.7361607142857143,0.7361360135488564,0.6954936289646642,0.7767783981330487,0.7567943727214747,0.7248362273688714,0.8029859622973607,0.7865793591360178,0.4738626711051917,0.7186645138619119,31.393431663513184,0.004648835515569922,0.007286257032399975,0.004578222409290747
XGBoost,3,0.7369107142857143,0.7368864506464815,0.696887341234959,0.776885560058004,0.757261340322688,0.7258020400995434,0.8023157643489892,0.7849175897482314,0.4753250210038158,0.7196211561177356,2.952972173690796,0.004100350660047319,0.007251734192169528,0.004093206869145578
LightGBM,3,0.7366785714285714,0.7366545724389967,0.6971375199340298,0.7761716249439636,0.7567339182693351,0.7256958684691579,0.8025448811248708,0.7856870517927955,0.4748217163096798,0.7196054611693856,3.066338300704956,0.0033357576625822195,0.007652794230809931,0.004524413771414928
CatBoost,3,0.7355357142857143,0.7355117148725219,0.6959225450476827,0.7751008846973612,0.7555332656830147,0.7244842397338361,0.8039013389126186,0.7872088703466467,0.47253536490227477,0.7185191600625701,4.851952314376831,0.0036987552927453455,0.0077590694027137655,0.004521547019828395
