model,generation,scaler,imbalance,feature_selection,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,sensitivity,sensitivity_std,specificity,specificity_std,precision,precision_std,npv,npv_std,f1,f1_std,roc_auc,roc_auc_std,pr_auc,pr_auc_std,mcc,mcc_std,train_time_sec,dataset,efficiency
Gen1_LogisticRegression,1,standard,none,none,0.7243035714285715,0.0025836761896687,0.7242601097082402,0.002587858501722,0.6525032620482508,0.0036806492196461,0.7960169573682295,0.0036291317441981,0.7616258994404767,0.0034169750367915,0.696375951852257,0.002419105423047,0.7028479546280206,0.002930468707961,0.7836590573725919,0.0025903482892329,0.7580336373986007,0.0039780199412395,0.4532361183028792,0.0052351271077357,0.2226021289825439,cardio_train,3.1432972388330453
Gen1_LogisticRegression,1,standard,none,select_k_best_5,0.7216071428571429,0.0023041942679578,0.7215621943651425,0.0023049017233909,0.6472503075590761,0.0048263537738137,0.795874081171209,0.0021044902164394,0.7600178348542383,0.0019591488889762,0.6931641071176101,0.0028068879278751,0.6991076934654833,0.0032148222579769,0.7792687465785744,0.0019320266875673,0.753015018425386,0.0041476099903406,0.448124783087536,0.0043982324295841,0.2685632705688476,cardio_train,2.593482754494657
Gen1_LogisticRegression,1,standard,none,select_k_best_12,0.7236964285714286,0.0024527421139514,0.7236531834817683,0.0024565297358208,0.6522888423199246,0.0033969806509127,0.7950175246436122,0.0034965436065972,0.7606771152092346,0.0032823833678852,0.6959788356334513,0.0022592619226686,0.7023202022665223,0.0027461010306926,0.7833871567514837,0.0026260494451327,0.7578288563199119,0.0042315808697927,0.4519568756303018,0.0049815520058369,0.2673206329345703,cardio_train,2.617466255149235
Gen1_LogisticRegression,1,standard,none,mutual_info_5,0.6995357142857143,0.0027861721235488,0.699446423915118,0.0027875204640477,0.5520853865474497,0.0069074370072904,0.8468074612827863,0.003505357888854,0.7825991403115732,0.003122559961537,0.6543392193804808,0.0030382992396881,0.6474082819663006,0.0047927457927624,0.7553370413740359,0.0018839513159375,0.7594790115463352,0.0053705920887121,0.417480569293245,0.0050690145196717,7.889068126678467,cardio_train,0.08205357312153454
Gen1_LogisticRegression,1,standard,none,mutual_info_12,0.7233392857142856,0.0018528453023082,0.7232952592997411,0.0018559386915542,0.6506093200904243,0.0027412729297229,0.7959811985090581,0.0031510111260092,0.7610659324398424,0.0027697169006725,0.6952139875730954,0.0016853740465401,0.7015112309314344,0.0020394288684582,0.7828952942986548,0.0027606773260935,0.7577695507452147,0.0039907612722278,0.451409122368353,0.0038067627327389,7.763079404830933,cardio_train,0.0903534333374982
Gen1_LogisticRegression,1,standard,smote,none,0.7242321428571428,0.0026229948609969,0.7241886077624824,0.0026272989240908,0.6523245693630165,0.0037777521549034,0.7960526461619484,0.00361422200084,0.7616075152866083,0.0034206083249506,0.6962771004233228,0.0024765094693387,0.7027363534300493,0.0029980766095838,0.7836577499741437,0.0025891839233242,0.7580324132218335,0.0039740416717653,0.4531058541022138,0.0053042878400608,8.116743087768555,cardio_train,0.08656794700597269
Gen1_LogisticRegression,1,standard,smote,select_k_best_5,0.7215714285714284,0.0022760678139892,0.7215264768764134,0.0022767662883502,0.6472145677449231,0.0047602831239757,0.7958383860079036,0.0020699462434984,0.759975831936216,0.0019331377626416,0.6931326774772624,0.0027702338246406,0.6990693236092239,0.0031742009804987,0.7792669225984079,0.001934426971131,0.7530150854082897,0.0041481901191561,0.4480523609689045,0.0043448185557477,0.814708948135376,cardio_train,0.8570082812101328
Gen1_LogisticRegression,1,standard,smote,select_k_best_12,0.7236607142857142,0.0024202852336542,0.7236174915112282,0.0024239240037451,0.652288848705455,0.0033221873587952,0.7949461343170013,0.0034902819257032,0.7606138761613019,0.0032671465358088,0.6959595913413914,0.00221511423864,0.7022933579278899,0.0026948432140065,0.7833875904249993,0.0026257019579957,0.7578271322956237,0.0042330011324227,0.4518799974480437,0.0049221256758069,5.012798070907593,cardio_train,0.14007212655869114
Gen1_LogisticRegression,1,standard,smote,mutual_info_5,0.6995357142857143,0.0027861721235488,0.699446423915118,0.0027875204640477,0.5520853865474497,0.0069074370072904,0.8468074612827863,0.003505357888854,0.7825991403115732,0.003122559961537,0.6543392193804808,0.0030382992396881,0.6474082819663006,0.0047927457927624,0.7553379469865408,0.0018827262656676,0.7594837364408116,0.0053619639073689,0.417480569293245,0.0050690145196717,9.470233678817747,cardio_train,0.06835522213058878
Gen1_LogisticRegression,1,standard,smote,mutual_info_12,0.7238749999999999,0.0023368990005508,0.7238306739782436,0.0023413703907712,0.6506450088203333,0.0037729630244013,0.797016339136154,0.0029580117470021,0.7619952847769125,0.0028196080343315,0.6955143667430091,0.0023648010953055,0.7019258088312258,0.0028294016285,0.7828795704318803,0.0028452984755518,0.7577839936424106,0.0041205452705156,0.4525585907219049,0.0046610628608346,12.243893146514893,cardio_train,0.057323963584852186
