model,generation,scaler,imbalance,feature_selection,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,sensitivity,sensitivity_std,specificity,specificity_std,precision,precision_std,npv,npv_std,f1,f1_std,roc_auc,roc_auc_std,pr_auc,pr_auc_std,mcc,mcc_std,train_time_sec
Gen4_PyTorch_MLP,4,minmax,none,select_k_best_12,0.72375,0.0,0.7237350929086683,0.0,0.6959085224227265,0.0,0.7515616633946101,0.0,0.7367126915074712,0.0,0.7121596482327076,0.0,0.7157295112091143,0.0,0.7812546087784273,0.0,0.7541140385560059,0.0,0.44817071442900014,0.0,39.498711347579956
Gen4_PyTorch_MLP,4,minmax,none,mutual_info_5,0.6944642857142858,0.0,0.694385562801979,0.0,0.5474361264963373,0.0,0.8413349991076209,0.0,0.7751075132810523,0.0,0.6504760590589209,0.0,0.641675392670157,0.0,0.7496160155148003,0.0,0.7549765926159517,0.0,0.40676111473094995,0.0,47.238431453704834
Gen4_PyTorch_MLP,4,minmax,none,mutual_info_12,0.72375,0.0,0.7237350929086683,0.0,0.6959085224227265,0.0,0.7515616633946101,0.0,0.7367126915074712,0.0,0.7121596482327076,0.0,0.7157295112091143,0.0,0.7812546087784273,0.0,0.7541140385560059,0.0,0.44817071442900014,0.0,39.84323024749756
Gen4_PyTorch_MLP,4,minmax,smote,none,0.7264285714285714,0.0,0.7264155783718178,0.0,0.7021618724316598,0.0,0.7506692843119758,0.0,0.7377510794067955,0.0,0.7161586923207901,0.0,0.719516660563896,0.0,0.7910361485754251,0.0,0.7690939984991669,0.0,0.45337014346849325,0.0,165.07513070106506
Gen4_PyTorch_MLP,4,minmax,smote,select_k_best_5,0.72,0.0,0.7199849005058707,0.0,0.6917991781311417,0.0,0.7481706228805997,0.0,0.7329169032746545,0.0,0.7084671286124725,0.0,0.711764705882353,0.0,0.7760161506423902,0.0,0.7458834283785125,0.0,0.44067634912613524,0.0,46.39156150817871
Gen4_PyTorch_MLP,4,minmax,smote,select_k_best_12,0.7303571428571428,0.0,0.7303348715884517,0.0,0.6887618366982312,0.0,0.7719079064786721,0.0,0.7510227936879018,0.0,0.7128729190703808,0.0,0.7185461323392358,0.0,0.7950760413164659,0.0,0.7734357437657968,0.0,0.46227991396687845,0.0,135.28588199615479
Gen4_PyTorch_MLP,4,minmax,smote,mutual_info_5,0.7066964285714286,0.0,0.706656691961423,0.0,0.632481686617831,0.0,0.7808316973050151,0.0,0.7424496644295302,0.0,0.6801927860696517,0.0,0.683068017366136,0.0,0.750870735262647,0.0,0.7557035828816183,0.0,0.41795188886432955,0.0,63.49632453918457
Gen4_PyTorch_MLP,4,minmax,smote,mutual_info_12,0.7303571428571428,0.0,0.7303348715884517,0.0,0.6887618366982312,0.0,0.7719079064786721,0.0,0.7510227936879018,0.0,0.7128729190703808,0.0,0.7185461323392358,0.0,0.7950760413164659,0.0,0.7734357437657968,0.0,0.46227991396687845,0.0,137.91212391853333
Gen4_PyTorch_MLP,4,minmax,smote_enn,none,0.725625,0.0,0.7256017229086578,0.0,0.6821511524030731,0.0,0.7690522934142424,0.0,0.7468701095461658,0.0,0.7077858081471747,0.0,0.7130451022504436,0.0,0.777404065581524,0.0,0.7497921368558322,0.0,0.4529263921703714,0.0,25.747017860412598
Gen4_PyTorch_MLP,4,minmax,smote_enn,select_k_best_5,0.7204464285714286,0.0,0.7204265938724281,0.0,0.6834018224048597,0.0,0.7574513653399965,0.0,0.7378472222222222,0.0,0.7054521276595744,0.0,0.7095816714590484,0.0,0.774767920054569,0.0,0.7453835915866877,0.0,0.4420745768765858,0.0,24.740359783172607
Gen4_PyTorch_MLP,4,minmax,smote_enn,select_k_best_12,0.7239285714285715,0.0,0.7239051503554321,0.0,0.6801858138288369,0.0,0.7676244868820274,0.0,0.7451556077510276,0.0,0.7061237891971761,0.0,0.7111899869232207,0.0,0.7779003348566013,0.0,0.7488391561897487,0.0,0.4495415024800187,0.0,27.41119122505188
Gen4_PyTorch_MLP,4,minmax,smote_enn,mutual_info_5,0.6952678571428571,0.0,0.6951844947914685,0.0,0.5395747721993925,0.0,0.8507942173835445,0.0,0.783195020746888,0.0,0.6491013071895425,0.0,0.6389505976938538,0.0,0.7492707666912276,0.0,0.7558353983240339,0.0,0.4107981021584184,0.0,18.91780114173889
Gen4_PyTorch_MLP,4,minmax,smote_enn,mutual_info_12,0.7239285714285715,0.0,0.7239051503554321,0.0,0.6801858138288369,0.0,0.7676244868820274,0.0,0.7451556077510276,0.0,0.7061237891971761,0.0,0.7111899869232207,0.0,0.7779003348566013,0.0,0.7488391561897487,0.0,0.4495415024800187,0.0,28.552404165267944
Gen4_PyTorch_MLP,4,robust,none,none,0.7311785714285713,0.005084552937223536,0.7311268506533868,0.005091249233250023,0.6446781264802458,0.027180665221496463,0.8175755748265274,0.019046487511306307,0.7798257273652612,0.011297890602286005,0.697746581950135,0.01144196045082866,0.7052979726512689,0.012376061262039629,0.7990571854252421,0.004092408987774634,0.7818708043899694,0.005962998896946377,0.4698336321195263,0.007511542040083241,518.4836580753326
Gen4_PyTorch_MLP,4,robust,none,select_k_best_5,0.7271785714285712,0.0013129554603322454,0.7271524673802339,0.0013142042103736521,0.6836295815063799,0.006663410497965591,0.770675353254088,0.007716185644210138,0.7486515383069939,0.0047229526822690415,0.7092425963472342,0.002501565297205686,0.7146211409673688,0.0019924828347073873,0.7815079310525491,0.0017578871879203278,0.7552642933174162,0.0035353918232339065,0.45609561521521275,0.0029546173880135623,251.52197670936584
Gen4_PyTorch_MLP,4,robust,none,select_k_best_12,0.7052142857142858,0.04748974781949451,0.7051289511827964,0.04756849719346881,0.5753756511804355,0.15310288058238522,0.8348822511851571,0.05866130573534304,0.7845239810651086,0.02713482641829282,0.6723457729311341,0.05489985843726938,0.6469831175717176,0.1168531752072076,0.7911445222576505,0.010291929496425252,0.7740051263024206,0.00690888817543005,0.43084327206330764,0.06674479040558559,381.9938895702362
