model,generation,scaler,imbalance,feature_selection,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,sensitivity,sensitivity_std,specificity,specificity_std,precision,precision_std,npv,npv_std,f1,f1_std,roc_auc,roc_auc_std,pr_auc,pr_auc_std,mcc,mcc_std,train_time_sec
Gen4_PyTorch_MLP,4,standard,smote_enn,mutual_info_5,0.9684654041124449,0.0,0.9083878498821552,0.0,0.8481012658227848,0.0,0.9686744339415256,0.0,0.044906166219839144,0.0,0.9997277491662319,0.0,0.0852959898154042,0.0,0.9236635677336236,0.0,0.7674409457371448,0.0,0.19093427526947362,0.0,1372.540580034256
Gen4_PyTorch_MLP,4,standard,smote_enn,mutual_info_12,0.9968619017314402,0.0,0.9162926335180079,0.0,0.8354430379746836,0.0,0.9971422290613322,0.0,0.336734693877551,0.0,0.999713485993873,0.0,0.48,0.0,0.9476948612993258,0.0,0.7728891271108791,0.0,0.529265337691815,0.0,827.5724692344666
Gen4_PyTorch_MLP,4,robust,none,none,0.9886984572845575,0.0,0.9311581902824657,0.0,0.8734177215189873,0.0,0.9888986590459442,0.0,0.12020905923344948,0.0,0.999777753083676,0.0,0.2113323124042879,0.0,0.9542781693570155,0.0,0.737962716971969,0.0,0.3216622354471027,0.0,139.85267972946167
Gen4_PyTorch_MLP,4,robust,none,select_k_best_5,0.9699795913888828,0.0,0.9028281358262075,0.0,0.8354430379746836,0.0,0.9702132336777314,0.0,0.04644616467276566,0.0,0.9997055359246172,0.0,0.088,0.0,0.934394121951966,0.0,0.7299245274390239,0.0,0.19282740218575264,0.0,140.15813636779785
Gen4_PyTorch_MLP,4,robust,none,select_k_best_12,0.9732493581162632,0.0,0.9234202258946882,0.0,0.8734177215189873,0.0,0.9734227302703891,0.0,0.0539906103286385,0.0,0.9997742204962633,0.0,0.1016949152542373,0.0,0.9481443967376333,0.0,0.7385547579921308,0.0,0.21337814702105573,0.0,159.7608380317688
Gen4_PyTorch_MLP,4,robust,none,mutual_info_5,0.9620136496302311,0.0,0.91779261543085,0.0,0.8734177215189873,0.0,0.9621675093427127,0.0,0.038547486033519554,0.0,0.9997715799812695,0.0,0.0738362760834671,0.0,0.9293859270781448,0.0,0.7326465187822545,0.0,0.17893810556271206,0.0,137.98822045326233
Gen4_PyTorch_MLP,4,robust,none,mutual_info_12,0.9779674778906713,0.0,0.9321015051297963,0.0,0.8860759493670886,0.0,0.9781270608925039,0.0,0.06572769953051644,0.0,0.9997977709868776,0.0,0.12237762237762238,0.0,0.951645235703493,0.0,0.7718533872964822,0.0,0.23796493201690053,0.0,202.15359044075012
Gen4_PyTorch_MLP,4,robust,smote,none,0.9992758234764862,0.0,0.8669567104746905,0.0,0.7341772151898734,0.0,0.9997362057595076,0.0,0.8285714285714286,0.0,0.9995384513945361,0.0,0.7785234899328859,0.0,0.9502444548948022,0.0,0.7808179989470321,0.0,0.7795902480969105,0.0,830.7264077663422
Gen4_PyTorch_MLP,4,robust,smote,select_k_best_5,0.9705940441967127,0.0,0.9157721407681756,0.0,0.8607594936708861,0.0,0.970784787865465,0.0,0.048675733715103794,0.0,0.9997509734673549,0.0,0.0921409214092141,0.0,0.9278005181275062,0.0,0.7749946988755511,0.0,0.20067125212946885,0.0,1190.9458339214325
Gen4_PyTorch_MLP,4,robust,smote,select_k_best_12,0.9969496807039874,0.0,0.8973822317326663,0.0,0.7974683544303798,0.0,0.9972961090349527,0.0,0.3387096774193548,0.0,0.9996474450785536,0.0,0.47547169811320755,0.0,0.9372286578494091,0.0,0.7555707020670472,0.0,0.5185693945092826,0.0,800.1967458724976
Gen4_PyTorch_MLP,4,robust,smote,mutual_info_5,0.9700015361320196,0.0,0.9154753722476215,0.0,0.8607594936708861,0.0,0.970191250824357,0.0,0.047752808988764044,0.0,0.999750821157549,0.0,0.09048569527611444,0.0,0.9204320882875914,0.0,0.7745372992502514,0.0,0.1986785766918655,0.0,1253.7071866989136
Gen4_PyTorch_MLP,4,robust,smote,mutual_info_12,0.9971252386490816,0.0,0.9037882856435271,0.0,0.810126582278481,0.0,0.9974499890085733,0.0,0.35555555555555557,0.0,0.999669523452819,0.0,0.4942084942084942,0.0,0.9568991376599669,0.0,0.7675266612247039,0.0,0.5356038193858929,0.0,582.4647705554962
Gen4_PyTorch_MLP,4,robust,smote_enn,none,0.9991660997608023,0.0,0.8858561208333449,0.0,0.7721518987341772,0.0,0.9995603429325126,0.0,0.7530864197530864,0.0,0.9996042912416462,0.0,0.7625,0.0,0.9441233432859079,0.0,0.788230775790386,0.0,0.762142136260317,0.0,508.7068922519684
Gen4_PyTorch_MLP,4,robust,smote_enn,select_k_best_5,0.9676315038732471,0.0,0.9079701756680423,0.0,0.8481012658227848,0.0,0.9678390855132997,0.0,0.04379084967320261,0.0,0.9997275142487341,0.0,0.08328154133001865,0.0,0.924767858285727,0.0,0.7699562981015459,0.0,0.1884366979864501,0.0,955.4235844612122
Gen4_PyTorch_MLP,4,robust,smote_enn,select_k_best_12,0.9971032939059449,0.0,0.9227316617089303,0.0,0.8481012658227848,0.0,0.9973620575950758,0.0,0.3582887700534759,0.0,0.99973557798246,0.0,0.5037593984962406,0.0,0.9305231919103099,0.0,0.7643828124821809,0.0,0.5501785666081288,0.0,770.1763501167297
Gen4_PyTorch_MLP,4,robust,smote_enn,mutual_info_5,0.9679167855340253,0.0,0.9144311867123391,0.0,0.8607594936708861,0.0,0.9681028797537921,0.0,0.04476629361421988,0.0,0.999750283768445,0.0,0.0851063829787234,0.0,0.9209872249012858,0.0,0.7775472499417277,0.0,0.19208882316818676,0.0,1077.8742530345917
Gen4_PyTorch_MLP,4,robust,smote_enn,mutual_info_12,0.9970594044196712,0.0,0.922709678855556,0.0,0.8481012658227848,0.0,0.9973180918883271,0.0,0.3544973544973545,0.0,0.9997355663287792,0.0,0.5,0.0,0.951051698662385,0.0,0.7642822241970629,0.0,0.5472434270093713,0.0,839.5144183635712
Gen4_TabNet,4,none,none,none,0.9992319339902126,0.0,0.8606166051239527,0.0,0.7215189873417721,0.0,0.9997142229061332,0.0,0.8142857142857143,0.0,0.9995164728895141,0.0,0.7651006711409396,0.0,0.9690075159097424,0.0,0.7502987975035883,0.0,0.7661208546718701,0.0,1624.4973509311676
